fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.12,0.9326923076923078,0.8719851576994434,0.8957790515893694,0.9206349206349206,0.8719851576994434,11,49,3,8,52,3
1,14,0.12,0.5935672514619883,0.5356060606060606,0.5595238095238095,0.9365079365079365,0.5356060606060606,0,55,8,0,57,6
2,14,0.12,0.5935672514619883,0.5356060606060606,0.5595238095238095,0.9365079365079365,0.5356060606060606,0,55,8,0,57,6
3,14,0.12,0.5380116959064327,0.4436781609195402,0.4797101449275362,0.8888888888888888,0.4436781609195402,0,58,5,3,57,3
4,14,0.12,0.6087179487179487,0.6258169934640523,0.6167656765676567,0.9523809523809523,0.6258169934640523,12,51,0,13,50,0
5,14,0.12,0.5708333333333333,0.6127450980392156,0.5881032547699214,0.9206349206349206,0.6127450980392156,12,51,0,15,48,0
6,14,0.12,0.6190476190476191,0.6444444444444445,0.6295313881520778,0.9523809523809523,0.6444444444444445,18,45,0,21,42,0
7,14,0.12,0.9166666666666666,0.9880952380952381,0.9463203463203463,0.9682539682539683,0.9880952380952381,6,56,1,8,54,1
8,14,0.12,0.7954545454545454,0.96,0.8570302825621975,0.9047619047619048,0.96,6,50,7,8,44,11
9,14,0.12,0.7892099287448125,0.8833727344365642,0.8222222222222223,0.873015873015873,0.8833727344365642,9,47,7,9,43,11
10,14,0.12,0.8044061302681992,0.8975,0.8334727333556374,0.8571428571428571,0.8975,25,32,6,24,29,10
11,14,0.12,0.5705128205128205,0.5847362514029181,0.5746187363834423,0.8412698412698413,0.5847362514029181,27,33,3,24,39,0
12,14,0.12,0.8815476190476191,0.8148148148148148,0.8423632610939112,0.873015873015873,0.8148148148148148,18,36,9,16,40,7
13,14,0.12,0.5956160241874527,0.5357575757575758,0.562962962962963,0.8253968253968254,0.5357575757575758,2,50,11,5,49,9
14,14,0.12,0.7065527065527065,0.9294871794871794,0.7326323002319208,0.8253968253968254,0.9294871794871794,3,52,8,13,41,9
15,14,0.12,0.4727564102564103,0.8654970760233919,0.479347406978986,0.6349206349206349,0.8654970760233919,3,57,3,13,34,16
16,14,0.12,0.6537037037037038,0.6155555555555555,0.5375661375661375,0.6507936507936508,0.6155555555555555,10,50,3,5,40,18
17,14,0.12,0.7015873015873016,0.6093023255813954,0.5781081663434605,0.6190476190476191,0.6093023255813954,10,43,10,4,35,24
18,14,0.12,0.8725925925925925,0.6922480620155037,0.737165494381114,0.8412698412698413,0.6922480620155037,10,43,10,4,50,9
19,14,0.12,0.7688888888888888,0.6444444444444444,0.6853092326776536,0.8253968253968254,0.6444444444444444,6,45,12,3,50,10
20,14,0.12,0.3922077922077922,0.43030303030303035,0.40808080808080804,0.8095238095238095,0.43030303030303035,3,55,5,1,55,7
21,14,0.12,0.5770114942528736,0.6606060606060606,0.6148803670927565,0.9206349206349206,0.6606060606060606,4,55,4,0,58,5
22,14,0.12,0.5666666666666667,0.608843537414966,0.5828900709219859,0.9047619047619048,0.608843537414966,14,49,0,18,45,0
23,14,0.12,0.5422480620155038,0.5952380952380952,0.5592497868712702,0.873015873015873,0.5952380952380952,14,49,0,20,43,0
24,14,0.12,0.6864035087719298,0.9219858156028368,0.7418081416575393,0.8253968253968254,0.9219858156028368,13,47,3,19,36,8
25,14,0.12,0.5595238095238095,0.9604519774011299,0.6456456456456457,0.8888888888888888,0.9604519774011299,1,59,3,4,52,7
26,14,0.12,0.4935897435897436,0.9265536723163842,0.5503968253968253,0.7936507936507936,0.9265536723163842,1,59,3,4,46,13
27,14,0.12,0.6648148148148149,0.8329004329004329,0.6674821610601427,0.8888888888888888,0.8329004329004329,1,55,7,4,54,5
28,14,0.12,0.6424242424242425,0.5555555555555555,0.5874213836477987,0.9365079365079365,0.5555555555555555,0,51,12,0,55,8
29,14,0.12,0.6477987421383647,0.5897435897435898,0.6134796679330238,0.9523809523809523,0.5897435897435898,0,50,13,0,53,10
30,14,0.12,0.7012138188608777,0.7414141414141414,0.685280477733308,0.873015873015873,0.7414141414141414,2,55,6,7,51,5
31,14,0.12,0.7082251082251082,0.7999999999999999,0.720450885668277,0.8888888888888888,0.7999999999999999,2,60,1,7,55,1
32,14,0.12,0.375,0.4672131147540983,0.38746438746438744,0.8888888888888888,0.4672131147540983,2,61,0,7,56,0
33,14,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
34,14,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
35,14,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
36,14,0.12,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,0,62,1,0,63,0
37,14,0.12,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,0,62,1,0,63,0
38,14,0.12,0.6384180790960452,0.5,0.5408062930186824,0.9206349206349206,0.5,1,54,8,0,59,4
39,14,0.12,0.5946969696969697,0.5389185977421271,0.5600794438927507,0.9047619047619048,0.5389185977421271,1,51,11,0,55,8
