entry_idx,exit_idx,entry_price,exit_price,direction,pnl,candidate,fold
2,16,30027.296875,30514.166015625,-1,-0.018014218104672467,T14_X8,0
60,62,26049.556640625,26189.583984375,1,0.003575421381706877,T14_X8,0
39,53,26049.556640625,25800.724609375,1,-0.011352255905267101,T14_X8,1
18,32,26049.556640625,25800.724609375,1,-0.011352255905267101,T14_X8,2
43,57,25833.34375,26217.25,1,0.013060881104483425,T14_X8,2
1,15,26031.65625,25779.982421875,1,-0.01146799137588489,T14_X8,3
17,31,26240.1953125,26567.6328125,1,0.010678470381050065,T14_X8,3
57,62,28415.748046875,29993.896484375,-1,-0.05733781075538343,T14_X8,3
36,50,28415.748046875,34667.78125,-1,-0.2218200111857538,T14_X8,4
51,62,35437.25390625,37054.51953125,-1,-0.04743744214714014,T14_X8,4
15,29,28415.748046875,34667.78125,-1,-0.2218200111857538,T14_X8,5
30,44,35437.25390625,37880.58203125,-1,-0.07074800966982023,T14_X8,5
45,59,36154.76953125,37712.74609375,-1,-0.044891868173945325,T14_X8,5
1,15,33901.52734375,35443.5625,-1,-0.047285713390263696,T14_X8,6
19,33,37138.05078125,37796.79296875,-1,-0.019537661876228064,T14_X8,6
42,56,41980.09765625,42623.5390625,-1,-0.01712729655654349,T14_X8,6
22,36,44080.6484375,42270.52734375,-1,0.03926384905649676,T14_X8,7
48,62,42265.1875,41796.26953125,1,-0.012894661978016777,T14_X8,7
1,15,44080.6484375,42270.52734375,-1,0.03926384905649676,T14_X8,8
26,40,42156.90234375,42842.3828125,1,0.014460219101502043,T14_X8,8
41,55,41796.26953125,42035.59375,1,0.003925970796773225,T14_X8,8
57,62,42952.609375,42583.58203125,-1,0.006791500007093575,T14_X8,8
11,25,44162.69140625,41618.40625,-1,0.05581164175537379,T14_X8,9
26,40,41665.5859375,42992.25,1,0.030040763369799908,T14_X8,9
45,59,45301.56640625,51304.97265625,-1,-0.13432094190658592,T14_X8,9
1,15,43154.9453125,42952.609375,1,-0.006488592142448912,T14_X8,10
18,32,43185.859375,52160.203125,-1,-0.20960746012420878,T14_X8,10
33,47,51662.99609375,62029.84765625,-1,-0.2024629956901424,T14_X8,10
48,62,63167.37109375,68390.625,-1,-0.08448911331608047,T14_X8,10
2,16,44318.22265625,51839.1796875,-1,-0.17150348945591917,T14_X8,11
17,31,51304.97265625,66925.484375,-1,-0.3062638932644885,T14_X8,11
32,46,68300.09375,63778.76171875,-1,0.06439803550782096,T14_X8,11
47,61,64062.203125,68896.109375,1,0.07365644723719451,T14_X8,11
62,62,69362.5546875,69362.5546875,1,-0.0018,T14_X8,11
1,15,57085.37109375,71481.2890625,-1,-0.2539822612856088,T14_X8,12
16,30,73083.5,69455.34375,-1,0.04784398598862944,T14_X8,12
31,45,70744.953125,70060.609375,1,-0.011473393221292066,T14_X8,12
47,61,63821.47265625,63419.140625,1,-0.008104022995787137,T14_X8,12
62,62,63113.23046875,63113.23046875,1,-0.0018,T14_X8,12
2,16,67913.671875,65980.8125,1,-0.030260534110974985,T14_X8,13
17,31,68508.84375,63512.75390625,1,-0.07472620295828594,T14_X8,13
32,46,63843.5703125,62889.8359375,1,-0.016738612773873448,T14_X8,13
47,61,63891.47265625,66940.8046875,1,0.045926745126944696,T14_X8,13
62,62,66278.3671875,66278.3671875,-1,-0.0018,T14_X8,13
1,15,69139.015625,66407.2734375,-1,0.03771086319071382,T14_X8,14
17,31,64481.70703125,63049.9609375,1,-0.02400391115043105,T14_X8,14
33,47,60793.7109375,69265.9453125,1,0.13756037534721352,T14_X8,14
48,62,68518.09375,69647.9921875,-1,-0.01829051185840966,T14_X8,14
2,16,58254.01171875,66267.4921875,1,0.13576100622630136,T14_X8,15
17,31,65231.58203125,68364.9921875,-1,-0.04983517036807265,T14_X8,15
53,62,64096.19921875,62678.29296875,1,-0.02392153399550127,T14_X8,15
1,15,70136.53125,70567.765625,-1,-0.007948498753992771,T14_X8,16
31,45,64828.65625,56977.703125,1,-0.12290312906570541,T14_X8,16
46,60,56662.375,66710.15625,1,0.17552721669361723,T14_X8,16
61,62,67163.6484375,68154.5234375,-1,-0.016553144342985947,T14_X8,16
5,19,66191.0,60887.37890625,1,-0.08192601552703539,T14_X8,17
20,34,62678.29296875,60787.79296875,1,-0.03196195736126,T14_X8,17
35,49,64870.15234375,66819.9140625,-1,-0.03185637644286884,T14_X8,17
50,62,66201.015625,58719.484375,-1,0.11121233341161449,T14_X8,17
3,17,56977.703125,63974.06640625,1,0.12099124811158313,T14_X8,18
18,32,66710.15625,61415.06640625,-1,0.07757456815280657,T14_X8,18
33,47,60680.09375,59478.97265625,1,-0.021594318359140635,T14_X8,18
48,62,58483.96484375,57325.48828125,1,-0.021608447761622695,T14_X8,18
1,15,65927.671875,56034.31640625,-1,0.14826377727865125,T14_X8,19
16,30,55027.4609375,61175.19140625,1,0.10992113639283796,T14_X8,19
31,45,60381.9140625,56160.48828125,-1,0.06811208951873395,T14_X8,19
46,60,53948.75390625,63192.9765625,1,0.16955192172027259,T14_X8,19
61,62,63394.83984375,63648.7109375,-1,-0.005804601863112503,T14_X8,19
1,15,60609.56640625,59504.1328125,1,-0.02003859927227608,T14_X8,20
21,35,59112.48046875,58192.5078125,1,-0.017363086660461602,T14_X8,20
36,50,60308.5390625,60837.0078125,-1,-0.010562751647031741,T14_X8,20
53,62,62067.4765625,62851.375,1,0.01082977779853252,T14_X8,20
2,16,57971.5390625,61649.6796875,1,0.06164735165706987,T14_X8,21
17,31,62940.45703125,60759.40234375,-1,0.032852666827905365,T14_X8,21
32,46,62067.4765625,68418.7890625,1,0.10052915613388,T14_X8,21
47,61,68362.734375,69289.2734375,-1,-0.015353276810396745,T14_X8,21
1,15,64301.96875,62131.96875,-1,0.031947022714603895,T14_X8,22
17,31,60274.5,68161.0546875,1,0.12904396697608442,T14_X8,22
37,51,72339.5390625,90584.1640625,-1,-0.2540082008877191,T14_X8,22
52,62,87250.4296875,98013.8203125,-1,-0.12516203573496013,T14_X8,22
2,16,67612.71875,72339.5390625,-1,-0.07171022399169534,T14_X8,23
17,31,70215.1875,87250.4296875,-1,-0.24441477885393384,T14_X8,23
32,46,91066.0078125,97461.5234375,-1,-0.07202944980928583,T14_X8,23
47,61,96449.0546875,101372.96875,-1,-0.052851968092935075,T14_X8,23
3,17,75904.859375,98504.7265625,-1,-0.29953939868391993,T14_X8,24
18,32,98997.6640625,99920.7109375,-1,-0.01112392580917116,T14_X8,24
37,51,101173.03125,99299.1953125,1,-0.020321101071586207,T14_X8,24
52,62,95795.515625,98314.9609375,1,0.02450024272078237,T14_X8,24
1,15,91985.3203125,96675.4296875,-1,-0.05278758540021799,T14_X8,25
16,30,101173.03125,99299.1953125,1,-0.020321101071586207,T14_X8,25
31,45,95795.515625,92484.0390625,1,-0.03636817932337321,T14_X8,25
53,62,104462.0390625,102682.5,-1,0.01523527021366389,T14_X8,25
2,16,100041.5390625,94419.7578125,-1,0.054394469844049935,T14_X8,26
17,31,96886.875,99756.90625,1,0.027822497887355743,T14_X8,26
33,47,104408.0703125,100655.90625,-1,0.03413749076359264,T14_X8,26
49,62,101405.421875,96175.03125,1,-0.05337900364979868,T14_X8,26
1,15,96922.703125,106146.265625,-1,-0.09696410709371658,T14_X8,27
16,30,103653.0703125,96615.4453125,-1,0.066095962741697,T14_X8,27
31,45,96593.296875,98333.9375,1,0.0162203045274719,T14_X8,27
50,62,88736.171875,80601.0390625,1,-0.09347775260758058,T14_X8,27
6,20,97688.9765625,96175.03125,1,-0.017297606442129115,T14_X8,28
29,43,88736.171875,82862.2109375,1,-0.06799578930872151,T14_X8,28
44,58,83722.359375,86900.8828125,1,0.03616504853934069,T14_X8,28
59,62,87177.1015625,82334.5234375,-1,0.05374873972872571,T14_X8,28
8,22,88736.171875,82862.2109375,1,-0.06799578930872151,T14_X8,29
23,37,83722.359375,86900.8828125,1,0.03616504853934069,T14_X8,29
38,52,87177.1015625,79626.140625,-1,0.08481633390147159,T14_X8,29
53,62,83404.8359375,85174.3046875,1,0.019415421505366473,T14_X8,29
1,15,82862.2109375,87471.703125,1,0.053828399669142005,T14_X8,30
16,30,86900.8828125,82573.953125,-1,0.04799155041308286,T14_X8,30
32,46,83404.8359375,94720.5,1,0.13387155831323105,T14_X8,30
47,61,94646.9296875,104696.328125,-1,-0.10797775421432632,T14_X8,30
62,62,104106.359375,104106.359375,-1,-0.0018,T14_X8,30
7,21,79235.3359375,87518.90625,1,0.1027438908599314,T14_X8,31
22,36,93441.890625,96802.4765625,-1,-0.03776444715557681,T14_X8,31
39,53,102970.8515625,107287.796875,-1,-0.04372395466283731,T14_X8,31
1,15,93441.890625,96802.4765625,-1,-0.03776444715557681,T14_X8,32
18,32,102970.8515625,107287.796875,-1,-0.04372395466283731,T14_X8,32
46,60,104390.34375,103309.6015625,1,-0.012152894230219449,T14_X8,32
62,62,100987.140625,100987.140625,1,-0.0018,T14_X8,32
1,15,104169.8125,108994.640625,-1,-0.04811695122807291,T14_X8,33
25,39,104390.34375,103309.6015625,1,-0.012152894230219449,T14_X8,33
