fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.1,0.7404408457040036,0.7261904761904763,0.6063864450961225,0.6349206349206349,0.7261904761904763,12,28,23,19,5,39
1,14,0.1,0.5528455284552846,0.5,0.4869281045751634,0.7142857142857143,0.5,0,36,27,4,18,41
2,14,0.1,0.5518207282913165,0.4946236559139785,0.4961948249619483,0.7301587301587301,0.4946236559139785,1,31,31,4,17,42
3,14,0.1,0.5724137931034483,0.591919191919192,0.5742584213172449,0.7142857142857143,0.591919191919192,5,36,22,5,29,29
4,14,0.1,0.7397787397787399,0.7521303258145363,0.7438718748089737,0.746031746031746,0.7521303258145363,14,30,19,14,27,22
5,14,0.1,0.77703081232493,0.7298881673881673,0.7415606624967789,0.746031746031746,0.7298881673881673,14,33,16,17,35,11
6,14,0.1,0.6336219336219336,0.6849446849446849,0.6451045408492216,0.6349206349206349,0.6849446849446849,14,27,22,21,20,22
7,14,0.1,0.788301282051282,0.7907051282051283,0.7839080459770115,0.7777777777777778,0.7907051282051283,5,32,26,5,26,32
8,14,0.1,0.7482456140350878,0.8353535353535353,0.7822428700477481,0.7777777777777778,0.8353535353535353,4,44,15,5,38,20
9,14,0.1,0.6086956521739131,0.6363636363636364,0.6190476190476191,0.9365079365079365,0.6363636363636364,0,44,19,0,40,23
10,14,0.1,0.6078431372549019,0.6394557823129251,0.620224204987417,0.9365079365079365,0.6394557823129251,0,49,14,1,45,17
11,14,0.1,0.625,0.6462585034013606,0.6339181286549708,0.9523809523809523,0.6462585034013606,0,49,14,1,46,16
12,14,0.1,0.6190476190476191,0.6339869281045751,0.6238435104414486,0.9206349206349206,0.6339869281045751,12,51,0,14,46,3
13,14,0.1,0.6491228070175438,0.6592592592592593,0.6539123393055978,0.9841269841269841,0.6592592592592593,18,45,0,19,44,0
14,14,0.1,0.7390819390819391,0.8962962962962964,0.7725687058623331,0.8571428571428571,0.8962962962962964,25,36,2,21,37,5
15,14,0.1,0.7893518518518517,0.8841269841269841,0.8109984639016897,0.8412698412698413,0.8841269841269841,28,30,5,22,32,9
16,14,0.1,0.7691450849345586,0.8686868686868686,0.7962081431679509,0.8253968253968254,0.8686868686868686,22,36,5,19,35,9
17,14,0.1,0.7891737891737892,0.8190476190476189,0.8013468013468014,0.8571428571428571,0.8190476190476189,15,42,6,18,39,6
18,14,0.1,0.6484848484848484,0.432183908045977,0.49726085124315206,0.8571428571428571,0.432183908045977,0,58,5,6,55,2
19,14,0.1,0.5388888888888889,0.46091954022988507,0.48870056497175146,0.9365079365079365,0.46091954022988507,0,58,5,0,60,3
20,14,0.1,0.8820861678004536,0.9654195011337868,0.9120378586217095,0.9682539682539683,0.9654195011337868,12,49,2,11,49,3
21,14,0.1,0.6477987421383647,0.5767973856209151,0.6062271062271062,0.9365079365079365,0.5767973856209151,12,51,0,9,53,1
22,14,0.1,0.979591836734694,0.9166666666666666,0.9418546365914787,0.9523809523809523,0.9166666666666666,12,46,5,9,49,5
23,14,0.1,0.6388888888888888,0.6602564102564102,0.6489376670887858,0.9841269841269841,0.6602564102564102,0,52,11,0,51,12
