fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,10,0.08,0.751186790505676,0.7696007696007695,0.7289535026377131,0.6984126984126984,0.7696007696007695,9,33,21,10,19,34
1,10,0.08,0.6855396065922381,0.7898550724637681,0.6963570127504554,0.6507936507936508,0.7898550724637681,2,38,23,3,22,38
2,10,0.08,0.6760188760188761,0.7388134741075918,0.6736411736411737,0.746031746031746,0.7388134741075918,3,34,26,5,21,37
3,10,0.08,0.630866160277925,0.6188973063973063,0.5903506411980989,0.6031746031746031,0.6188973063973063,9,32,22,9,17,37
4,10,0.08,0.7207438530967942,0.7114260008996851,0.7153915820582487,0.7142857142857143,0.7114260008996851,18,26,19,17,28,18
5,10,0.08,0.7863636363636363,0.7005461682881037,0.7235650863625608,0.746031746031746,0.7005461682881037,18,31,14,11,40,12
6,10,0.08,0.6744093231162197,0.6780228758169935,0.6759987893462469,0.6666666666666666,0.6780228758169935,16,30,17,16,29,18
7,10,0.08,0.6181139122315593,0.6982410982410983,0.6462191955149702,0.6666666666666666,0.6982410982410983,5,37,21,8,34,21
8,10,0.08,0.7679586563307494,0.7727272727272728,0.7701149425287356,0.7619047619047619,0.7727272727272728,5,44,14,5,43,15
9,10,0.08,0.6554112554112553,0.7231884057971015,0.6673964604999086,0.8412698412698413,0.7231884057971015,2,46,15,5,44,14
10,10,0.08,0.637037037037037,0.782051282051282,0.6857388316151202,0.8571428571428571,0.782051282051282,2,52,9,3,45,15
11,10,0.08,0.5188405797101449,0.5820512820512821,0.5393197278911565,0.8412698412698413,0.5820512820512821,1,52,10,2,46,15
12,10,0.08,0.5933333333333334,0.6358024691358025,0.6103988603988604,0.9047619047619048,0.6358024691358025,8,54,1,10,50,3
13,10,0.08,0.772765246449457,0.8037037037037037,0.7856048166392994,0.9206349206349206,0.8037037037037037,16,45,2,19,42,2
14,10,0.08,0.7756512493354598,0.7685185185185185,0.7713800757279018,0.8253968253968254,0.7685185185185185,24,36,3,22,38,3
15,10,0.08,0.762881562881563,0.7282254782254783,0.7419319186560566,0.7777777777777778,0.7282254782254783,26,28,9,26,30,7
16,10,0.08,0.6864035087719298,0.6821428571428573,0.684076682316119,0.7142857142857143,0.6821428571428573,20,35,8,19,36,8
17,10,0.08,0.6738215488215488,0.7333333333333334,0.6823169033695349,0.7301587301587301,0.7333333333333334,13,40,10,22,32,9
18,10,0.08,0.6475228475228475,0.8418688230008985,0.673469387755102,0.8095238095238095,0.8418688230008985,3,53,7,11,45,7
19,10,0.08,0.8981481481481483,0.8763102725366876,0.8863844603261866,0.9206349206349206,0.8763102725366876,1,53,9,1,54,8
20,10,0.08,0.7425925925925926,0.8516666666666666,0.7845295055821371,0.873015873015873,0.8516666666666666,8,50,5,12,45,6
21,10,0.08,0.5262237762237763,0.5998427672955975,0.5567251461988304,0.8888888888888888,0.5998427672955975,8,53,2,11,52,0
22,10,0.08,0.8717948717948718,0.9691358024691358,0.9044536908614579,0.9206349206349206,0.9691358024691358,8,54,1,13,49,1
23,10,0.08,0.5555555555555555,0.6424242424242425,0.5874213836477987,0.9365079365079365,0.6424242424242425,0,55,8,0,51,12
24,10,0.08,0.5555555555555555,0.6363636363636364,0.5841269841269842,0.9206349206349206,0.6363636363636364,0,55,8,1,50,12
25,10,0.08,0.5277777777777778,0.6369047619047619,0.5633710444335137,0.9206349206349206,0.6369047619047619,0,56,7,0,51,12
26,10,0.08,0.5555555555555555,0.6410256410256411,0.5866666666666667,0.9206349206349206,0.6410256410256411,10,52,1,15,48,0
27,10,0.08,0.5294117647058824,0.6282051282051282,0.5598387503149408,0.8888888888888888,0.6282051282051282,10,52,1,17,46,0
28,10,0.08,0.56,0.6148148148148148,0.5750621533754064,0.873015873015873,0.6148148148148148,17,45,1,25,38,0
29,10,0.08,0.6011904761904762,0.5493827160493827,0.5712121212121212,0.9365079365079365,0.5493827160493827,9,54,0,7,56,0
30,10,0.08,0.7933333333333333,0.6023255813953488,0.6334160463192721,0.7619047619047619,0.6023255813953488,10,43,10,3,50,10
31,10,0.08,0.7841880341880342,0.7480769230769231,0.763185324160934,0.8095238095238095,0.7480769230769231,13,40,10,13,42,8
32,10,0.08,0.7494930875576037,0.7024786324786324,0.7095188952774092,0.7619047619047619,0.7024786324786324,25,26,12,31,25,7
33,10,0.08,0.7163978494623656,0.6880952380952382,0.6984126984126983,0.7142857142857143,0.6880952380952382,32,21,10,31,24,8
34,10,0.08,0.7784524562513178,0.7523767082590611,0.7500479368001227,0.746031746031746,0.7523767082590611,24,22,17,17,31,15
35,10,0.08,0.8644781144781145,0.6448539886039886,0.6158451684767474,0.7619047619047619,0.6448539886039886,13,32,18,1,44,18
36,10,0.08,0.7897435897435897,0.8311688311688311,0.8047602215152586,0.8412698412698413,0.8311688311688311,11,42,10,10,40,13
37,10,0.08,0.6996632996632997,0.8725925925925925,0.7486145806414563,0.8412698412698413,0.8725925925925925,9,50,4,10,44,9
38,10,0.08,0.735950235950236,0.848003848003848,0.7648841084684138,0.8095238095238095,0.848003848003848,11,45,7,12,37,14
39,10,0.08,0.7852272727272728,0.8576923076923076,0.8059163059163059,0.8095238095238095,0.8576923076923076,10,40,13,11,32,20
40,10,0.08,0.7996632996632997,0.776301918616909,0.7844135802469135,0.7936507936507936,0.776301918616909,17,31,15,18,33,12
41,10,0.08,0.6431046431046431,0.6014784946236559,0.6162947937795807,0.6349206349206349,0.6014784946236559,16,31,16,13,37,13
