candidate,T,X,folds,precision_median,recall_median,f1_median,accuracy_median,balanced_accuracy_median
T14_X8,14,0.08,63,0.7586419753086421,0.7729700854700855,0.7524547803617571,0.8095238095238095,0.7729700854700855
T21_X8,21,0.08,62,0.75,0.7619116865246897,0.7336660824328056,0.8412698412698413,0.7619116865246897
T21_X10,21,0.1,62,0.7381741202228017,0.7222222222222223,0.7007020757020758,0.8412698412698413,0.7222222222222223
T14_X6,14,0.06,63,0.7241857241857241,0.7265909090909091,0.6972972972972973,0.7619047619047619,0.7265909090909091
T10_X8,10,0.08,63,0.6744093231162197,0.6847674742411584,0.673469387755102,0.8095238095238095,0.6847674742411584
T14_X10,14,0.1,63,0.6871980676328503,0.6849446849446849,0.6489376670887858,0.8571428571428571,0.6849446849446849
T21_X6,21,0.06,62,0.6845304454000105,0.6641834554334554,0.6465530094561465,0.7936507936507936,0.6641834554334554
T21_X12,21,0.12,62,0.6410984848484849,0.6551268498942917,0.6428571428571428,0.8412698412698413,0.6551268498942917
T10_X6,10,0.06,63,0.6671201814058957,0.6595238095238095,0.6421455938697318,0.6984126984126984,0.6595238095238095
T14_X12,14,0.12,63,0.6242424242424242,0.6470588235294118,0.6218746296954616,0.9047619047619048,0.6470588235294118
T21_X15,21,0.15,62,0.6361111111111111,0.637037037037037,0.6171284447906236,0.8968253968253967,0.637037037037037
T7_X6,7,0.06,63,0.6367880485527544,0.6046761046761047,0.5989429120565166,0.746031746031746,0.6046761046761047
T10_X10,10,0.1,63,0.5772727272727273,0.6155303030303031,0.5841269841269842,0.873015873015873,0.6155303030303031
T14_X15,14,0.15,63,0.5952380952380952,0.5714285714285715,0.5697435897435897,0.9206349206349206,0.5714285714285715
T10_X12,10,0.12,63,0.5555555555555555,0.5833333333333334,0.5565268065268065,0.9206349206349206,0.5833333333333334
T7_X8,7,0.08,63,0.5942528735632183,0.5932539682539683,0.5564135564135565,0.8412698412698413,0.5932539682539683
T7_X10,7,0.1,63,0.4890710382513661,0.4930555555555555,0.4764957264957265,0.9047619047619048,0.4930555555555555
T10_X15,10,0.15,63,0.4636363636363636,0.46855345911949686,0.4615384615384615,0.9682539682539683,0.46855345911949686
T7_X12,7,0.12,63,0.3884180790960452,0.3942528735632184,0.41456582633053224,0.9523809523809523,0.3942528735632184
T7_X15,7,0.15,63,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9841269841269841,0.3333333333333333
