fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,10,0.08,0.7962121212121213,0.6376811594202899,0.6555555555555554,0.6507936507936508,0.6376811594202899,2,38,23,1,22,40
1,10,0.08,0.5917742706838833,0.6523809523809524,0.5590727680279919,0.6825396825396826,0.6523809523809524,2,35,26,5,17,41
2,10,0.08,0.6130536130536131,0.6078125811646148,0.5591397849462365,0.5873015873015873,0.6078125811646148,9,31,23,11,13,39
3,10,0.08,0.6840579710144928,0.6962063277852751,0.6885620645019142,0.6825396825396826,0.6962063277852751,18,26,19,20,23,20
4,10,0.08,0.7126623376623377,0.7074572286796396,0.7021072796934865,0.7142857142857143,0.7074572286796396,19,31,13,14,33,16
5,10,0.08,0.7246875358330467,0.7466397849462365,0.7325770015425187,0.7301587301587301,0.7466397849462365,16,31,16,17,27,19
6,10,0.08,0.6000763941940414,0.6474474474474473,0.6184627142701168,0.6666666666666666,0.6474474474474473,5,37,21,7,34,22
7,10,0.08,0.6918220946915352,0.7002583979328166,0.6952380952380953,0.7142857142857143,0.7002583979328166,5,43,15,5,41,17
8,10,0.08,0.6971014492753623,0.7203703703703703,0.6813186813186812,0.8571428571428571,0.7203703703703703,2,45,16,5,46,12
9,10,0.08,0.8595744680851064,0.7948717948717948,0.781986531986532,0.8888888888888888,0.7948717948717948,2,52,9,1,47,15
10,10,0.08,0.5194444444444445,0.5948717948717949,0.5466666666666667,0.873015873015873,0.5948717948717949,1,52,10,0,48,15
11,10,0.08,0.66,0.6303030303030303,0.6444444444444445,0.8888888888888888,0.6303030303030303,7,55,1,7,50,6
12,10,0.08,0.6398124467178176,0.6594202898550724,0.6493192797540623,0.9682539682539683,0.6594202898550724,16,46,1,17,46,0
13,10,0.08,0.8003655829742785,0.7962962962962963,0.7981476084070079,0.8571428571428571,0.7962962962962963,24,36,3,23,37,3
14,10,0.08,0.7949683167074472,0.7520350020350021,0.767271662763466,0.8095238095238095,0.7520350020350021,26,28,9,23,33,7
15,10,0.08,0.7494074552898082,0.6989696463380675,0.7193443443443442,0.7619047619047619,0.6989696463380675,19,35,9,17,39,7
16,10,0.08,0.7835397316821465,0.791025641025641,0.7794871794871795,0.8253968253968254,0.791025641025641,13,40,10,17,38,8
17,10,0.08,0.6722222222222222,0.7225274725274726,0.6584126984126984,0.8095238095238095,0.7225274725274726,4,52,7,10,48,5
18,10,0.08,0.8441358024691358,0.665954415954416,0.7264767542237021,0.873015873015873,0.665954415954416,2,52,9,1,54,8
19,10,0.08,0.8225925925925925,0.805,0.8100653594771242,0.9047619047619048,0.805,8,50,5,9,50,4
20,10,0.08,0.9133473095737247,0.7790880503144654,0.817486743124923,0.9365079365079365,0.7790880503144654,8,53,2,9,53,1
21,10,0.08,0.5864197530864198,0.6128787878787879,0.5986688253282965,0.9523809523809523,0.6128787878787879,8,55,0,9,54,0
22,10,0.08,0.5384615384615384,0.6363636363636364,0.5714285714285714,0.9206349206349206,0.6363636363636364,0,55,8,0,50,13
23,10,0.08,0.5555555555555555,0.6424242424242425,0.5874213836477987,0.9365079365079365,0.6424242424242425,0,55,8,0,51,12
24,10,0.08,0.5384615384615384,0.6363636363636364,0.5714285714285714,0.9206349206349206,0.6363636363636364,0,55,8,0,50,13
25,10,0.08,0.5555555555555555,0.6410256410256411,0.5866666666666667,0.9206349206349206,0.6410256410256411,10,52,1,15,48,0
26,10,0.08,0.5555555555555555,0.6410256410256411,0.5866666666666667,0.9206349206349206,0.6410256410256411,10,52,1,15,48,0
27,10,0.08,0.5909090909090909,0.637037037037037,0.6084277479626317,0.9206349206349206,0.637037037037037,17,45,1,22,41,0
28,10,0.08,0.6547619047619048,0.5925925925925926,0.618939393939394,0.9682539682539683,0.5925925925925926,9,54,0,7,56,0
29,10,0.08,0.8503546099290779,0.7434108527131782,0.7796296296296296,0.8412698412698413,0.7434108527131782,10,43,10,6,47,10
30,10,0.08,0.8227513227513228,0.7897435897435897,0.8049636285836543,0.8412698412698413,0.7897435897435897,13,40,10,12,42,9
31,10,0.08,0.827024827024827,0.7964957264957265,0.8061602967263344,0.8412698412698413,0.7964957264957265,25,26,12,28,26,9
32,10,0.08,0.7515277777777779,0.6810515873015873,0.7006340579710145,0.7301587301587301,0.6810515873015873,32,21,10,32,25,6
33,10,0.08,0.8042200854700855,0.7618092691622104,0.7640211640211639,0.7619047619047619,0.7618092691622104,24,22,17,18,32,13
34,10,0.08,0.6987353206865402,0.6496616809116809,0.6395678514937176,0.746031746031746,0.6496616809116809,13,32,18,4,41,18
35,10,0.08,0.7558831558831559,0.8073593073593074,0.7754285096057248,0.7936507936507936,0.8073593073593074,11,42,10,15,37,11
36,10,0.08,0.6200542005420054,0.8088888888888889,0.6555812608444187,0.7619047619047619,0.8088888888888889,9,50,4,10,41,12
37,10,0.08,0.682946682946683,0.8320910973084886,0.7264227642276423,0.7777777777777778,0.8320910973084886,10,46,7,14,36,13
38,10,0.08,0.7909184726522188,0.8641512056146202,0.8151461988304094,0.8253968253968254,0.8641512056146202,9,41,13,10,34,19
39,10,0.08,0.775925925925926,0.7412464985994398,0.7552790346907994,0.7777777777777778,0.7412464985994398,17,32,14,15,36,12
40,10,0.08,0.6809523809523809,0.6538978494623656,0.6646464646464647,0.6825396825396826,0.6538978494623656,16,31,16,14,35,14
41,10,0.08,0.5743271221532091,0.4834316010786599,0.4911178377056198,0.5873015873015873,0.4834316010786599,17,33,13,7,46,10
42,10,0.08,0.5212121212121211,0.3950598421186657,0.38201058201058197,0.5555555555555556,0.3950598421186657,17,35,11,4,55,4
43,10,0.08,0.4713768115942029,0.4991987179487179,0.4812925170068027,0.6984126984126984,0.4991987179487179,26,32,5,23,40,0
44,10,0.08,0.5302325581395348,0.5285285285285285,0.5257575757575758,0.7936507936507936,0.5285285285285285,24,37,2,20,43,0
45,10,0.08,0.6948431685273792,0.7411584516847673,0.7087369059200045,0.7777777777777778,0.7411584516847673,18,38,7,19,33,11
46,10,0.08,0.6589089089089089,0.6941077441077441,0.6502057613168724,0.6984126984126984,0.6941077441077441,10,44,9,8,37,18
47,10,0.08,0.7307256235827664,0.5314814814814816,0.5750591016548464,0.7142857142857143,0.5314814814814816,6,45,12,2,49,12
48,10,0.08,0.7843915343915344,0.7411255411255411,0.7599429284822543,0.8412698412698413,0.7411255411255411,5,44,14,4,45,14
49,10,0.08,0.8649237472766885,0.8649237472766885,0.8649237472766885,0.8412698412698413,0.8649237472766885,1,45,17,1,45,17
50,10,0.08,0.5124113475177304,0.5583333333333333,0.5335249042145594,0.7777777777777778,0.5583333333333333,7,40,16,0,47,16
51,10,0.08,0.700925925925926,0.6492252102008199,0.6702948115545512,0.746031746031746,0.6492252102008199,13,41,9,10,45,8
52,10,0.08,0.6434547908232119,0.8233082706766917,0.6901513041863918,0.7619047619047619,0.8233082706766917,19,42,2,19,39,5
53,10,0.08,0.5303030303030303,0.6066666666666666,0.5479853479853479,0.8571428571428571,0.6066666666666666,13,50,0,22,41,0
54,10,0.08,0.5555555555555555,0.6491228070175438,0.5909909909909911,0.9523809523809523,0.6491228070175438,6,57,0,9,54,0
55,10,0.08,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9682539682539683,0.6052631578947368,6,57,0,6,57,0
56,10,0.08,0.6551724137931035,0.6111111111111112,0.6305156831472621,0.9682539682539683,0.6111111111111112,6,56,1,5,58,0
57,10,0.08,0.6384180790960452,0.49393939393939396,0.5380116959064327,0.9047619047619048,0.49393939393939396,6,55,2,3,59,1
58,10,0.08,0.3172043010752688,0.3277777777777778,0.3224043715846994,0.9365079365079365,0.3277777777777778,1,60,2,0,62,1
59,10,0.08,0.7463571889103804,0.736111111111111,0.7371610845295056,0.8253968253968254,0.736111111111111,6,48,9,5,47,11
60,10,0.08,0.882051282051282,0.7148148148148148,0.7670519629282516,0.8571428571428571,0.7148148148148148,6,45,12,5,52,6
61,10,0.08,0.8290769966523195,0.7994949494949495,0.8087912087912087,0.8253968253968254,0.7994949494949495,5,36,22,5,41,17
