fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.06,0.5654761904761905,0.6666666666666666,0.6081081081081081,0.9523809523809523,0.6666666666666666,555,122,823,5,3,55,7,0,56
1,21,0.06,0.5994152046783626,0.6666666666666666,0.6304112554112554,0.9523809523809523,0.6666666666666666,555,122,844,5,3,55,6,0,57
2,21,0.06,0.5958333333333333,0.5789473684210527,0.5816259087904825,0.873015873015873,0.5789473684210527,556,122,864,19,3,41,15,0,48
3,21,0.06,0.5925925925925926,0.5669371196754565,0.5696653628857019,0.8412698412698413,0.5669371196754565,560,125,878,34,0,29,25,2,36
4,21,0.06,0.7489224137931035,0.7592592592592592,0.7462438146648673,0.8571428571428571,0.7592592592592592,560,125,899,36,2,25,29,2,32
5,21,0.06,0.5875831485587583,0.5907407407407407,0.5867182462927144,0.873015873015873,0.5907407407407407,575,125,905,25,2,36,22,0,41
6,21,0.06,0.6400180668473351,0.6694847020933977,0.6151553852703278,0.7936507936507936,0.6694847020933977,594,125,907,9,8,46,18,4,41
7,21,0.06,0.7023809523809524,0.7157738095238096,0.6844858844858845,0.7301587301587301,0.7157738095238096,596,127,924,17,14,32,28,12,23
8,21,0.06,0.7028985507246377,0.7428571428571429,0.7023947023947024,0.7619047619047619,0.7428571428571429,600,127,941,14,14,35,23,12,28
9,21,0.06,0.6950757575757575,0.690952380952381,0.6838052887832093,0.746031746031746,0.690952380952381,603,133,953,25,10,28,22,16,25
10,21,0.06,0.7999999999999999,0.6450980392156863,0.5840731772935163,0.6666666666666666,0.6450980392156863,613,141,956,15,14,34,3,35,25
11,21,0.06,0.8045548654244307,0.6736111111111112,0.642483660130719,0.6825396825396826,0.6736111111111112,614,141,976,32,16,15,23,35,5
12,21,0.06,0.9387254901960785,0.9152777777777779,0.9231581667621712,0.9365079365079365,0.9152777777777779,628,143,981,32,15,16,34,16,13
13,21,0.06,0.9331662489557226,0.8222222222222223,0.8662080466958516,0.9047619047619048,0.8222222222222223,628,155,990,40,3,20,42,2,19
14,21,0.06,0.610077519379845,0.6174603174603175,0.6137254901960785,0.9206349206349206,0.6174603174603175,646,157,991,42,1,20,43,0,20
15,21,0.06,0.5238095238095238,0.594541910331384,0.5568376068376067,0.7936507936507936,0.594541910331384,660,158,997,38,7,18,42,0,21
16,21,0.06,0.8795973674022454,0.6666666666666666,0.6516372516372516,0.8253968253968254,0.6666666666666666,668,158,1010,36,9,18,41,1,21
17,21,0.06,0.7391975308641975,0.6943881000676133,0.6436732666240864,0.746031746031746,0.6943881000676133,688,158,1011,17,17,29,27,4,32
18,21,0.06,0.7278528528528527,0.7203548085901027,0.7047866911614614,0.7936507936507936,0.7203548085901027,698,165,1015,14,15,34,18,8,37
19,21,0.06,0.7703703703703705,0.7523088023088024,0.7264466057569505,0.7619047619047619,0.7523088023088024,704,167,1028,22,20,21,30,9,24
20,21,0.06,0.785050505050505,0.7333333333333334,0.6421256038647343,0.6825396825396826,0.7333333333333334,705,175,1040,21,25,17,25,5,33
