fold,train_start,train_end,test_start,test_end,train_start_ix,train_end_ix,test_start_ix,test_end_ix
0,2018-02-11 00:00:00+00:00,2022-03-21 00:00:00+00:00,2022-03-22 00:00:00+00:00,2022-05-23 00:00:00+00:00,0,1499,1500,1562
1,2018-02-11 00:00:00+00:00,2022-04-11 00:00:00+00:00,2022-04-12 00:00:00+00:00,2022-06-13 00:00:00+00:00,0,1520,1521,1583
2,2018-02-11 00:00:00+00:00,2022-05-02 00:00:00+00:00,2022-05-03 00:00:00+00:00,2022-07-04 00:00:00+00:00,0,1541,1542,1604
3,2018-02-11 00:00:00+00:00,2022-05-23 00:00:00+00:00,2022-05-24 00:00:00+00:00,2022-07-25 00:00:00+00:00,0,1562,1563,1625
4,2018-02-11 00:00:00+00:00,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,2022-08-15 00:00:00+00:00,0,1583,1584,1646
5,2018-02-11 00:00:00+00:00,2022-07-04 00:00:00+00:00,2022-07-05 00:00:00+00:00,2022-09-05 00:00:00+00:00,0,1604,1605,1667
6,2018-02-11 00:00:00+00:00,2022-07-25 00:00:00+00:00,2022-07-26 00:00:00+00:00,2022-09-26 00:00:00+00:00,0,1625,1626,1688
7,2018-02-11 00:00:00+00:00,2022-08-15 00:00:00+00:00,2022-08-16 00:00:00+00:00,2022-10-17 00:00:00+00:00,0,1646,1647,1709
8,2018-02-11 00:00:00+00:00,2022-09-05 00:00:00+00:00,2022-09-06 00:00:00+00:00,2022-11-07 00:00:00+00:00,0,1667,1668,1730
9,2018-02-11 00:00:00+00:00,2022-09-26 00:00:00+00:00,2022-09-27 00:00:00+00:00,2022-11-28 00:00:00+00:00,0,1688,1689,1751
10,2018-02-11 00:00:00+00:00,2022-10-17 00:00:00+00:00,2022-10-18 00:00:00+00:00,2022-12-19 00:00:00+00:00,0,1709,1710,1772
11,2018-02-11 00:00:00+00:00,2022-11-07 00:00:00+00:00,2022-11-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,0,1730,1731,1793
12,2018-02-11 00:00:00+00:00,2022-11-28 00:00:00+00:00,2022-11-29 00:00:00+00:00,2023-01-30 00:00:00+00:00,0,1751,1752,1814
13,2018-02-11 00:00:00+00:00,2022-12-19 00:00:00+00:00,2022-12-20 00:00:00+00:00,2023-02-20 00:00:00+00:00,0,1772,1773,1835
14,2018-02-11 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-01-10 00:00:00+00:00,2023-03-13 00:00:00+00:00,0,1793,1794,1856
15,2018-02-11 00:00:00+00:00,2023-01-30 00:00:00+00:00,2023-01-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,0,1814,1815,1877
16,2018-02-11 00:00:00+00:00,2023-02-20 00:00:00+00:00,2023-02-21 00:00:00+00:00,2023-04-24 00:00:00+00:00,0,1835,1836,1898
17,2018-02-11 00:00:00+00:00,2023-03-13 00:00:00+00:00,2023-03-14 00:00:00+00:00,2023-05-15 00:00:00+00:00,0,1856,1857,1919
18,2018-02-11 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-04-04 00:00:00+00:00,2023-06-05 00:00:00+00:00,0,1877,1878,1940
19,2018-02-11 00:00:00+00:00,2023-04-24 00:00:00+00:00,2023-04-25 00:00:00+00:00,2023-06-26 00:00:00+00:00,0,1898,1899,1961
20,2018-02-11 00:00:00+00:00,2023-05-15 00:00:00+00:00,2023-05-16 00:00:00+00:00,2023-07-17 00:00:00+00:00,0,1919,1920,1982
21,2018-02-11 00:00:00+00:00,2023-06-05 00:00:00+00:00,2023-06-06 00:00:00+00:00,2023-08-07 00:00:00+00:00,0,1940,1941,2003
22,2018-02-11 00:00:00+00:00,2023-06-26 00:00:00+00:00,2023-06-27 00:00:00+00:00,2023-08-28 00:00:00+00:00,0,1961,1962,2024
