candidate,T,X,folds,precision_median,recall_median,f1_median,accuracy_median,balanced_accuracy_median
T21_X8,21,0.08,61,0.7943722943722943,0.7891640866873065,0.7650377784319499,0.8412698412698413,0.7891640866873065
T14_X8,14,0.08,62,0.767222292957587,0.7689692982456141,0.7496521119483823,0.8253968253968254,0.7689692982456141
T21_X10,21,0.1,61,0.740036231884058,0.7619047619047619,0.7215880893300248,0.8571428571428571,0.7619047619047619
T14_X6,14,0.06,62,0.7274700789406672,0.7173659504452187,0.7059190433174173,0.7619047619047619,0.7173659504452187
T14_X10,14,0.1,62,0.7133877816771664,0.6949142103585195,0.6764009317510059,0.8650793650793651,0.6949142103585195
T10_X6,10,0.06,62,0.6774669774669775,0.6977831536655066,0.6658362426104362,0.746031746031746,0.6977831536655066
T10_X8,10,0.08,62,0.683502326980588,0.6735030016280017,0.6615295815295816,0.8253968253968254,0.6735030016280017
T21_X12,21,0.12,61,0.6507936507936508,0.6589147286821705,0.6546150167384027,0.8571428571428571,0.6589147286821705
T21_X6,21,0.06,61,0.7028985507246377,0.6685185185185185,0.642483660130719,0.8095238095238095,0.6685185185185185
T14_X12,14,0.12,62,0.6178571428571429,0.6408831908831909,0.6157902456912357,0.8968253968253967,0.6408831908831909
