fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.1,0.9404761904761904,0.8888888888888888,0.904325054083508,0.9206349206349206,0.8888888888888888,13,39,11,9,42,12
1,21,0.1,0.5988835725677831,0.6074074074074074,0.602895029861322,0.9206349206349206,0.6074074074074074,0,45,18,0,44,19
2,21,0.1,0.5988835725677831,0.6074074074074074,0.602895029861322,0.9206349206349206,0.6074074074074074,0,45,18,0,44,19
3,21,0.1,0.6935064935064935,0.7420212765957447,0.6893106893106893,0.8095238095238095,0.7420212765957447,8,47,8,14,44,5
4,21,0.1,0.5862068965517241,0.6166666666666667,0.5938880056527115,0.8888888888888888,0.6166666666666667,22,40,1,29,34,0
5,21,0.1,0.6036036036036037,0.6041666666666666,0.5973580373992108,0.8888888888888888,0.6041666666666666,30,32,1,37,26,0
6,21,0.1,0.5339506172839507,0.5299059139784946,0.528543722067628,0.7936507936507936,0.5299059139784946,31,32,0,36,27,0
7,21,0.1,0.6843033509700177,0.7706552706552706,0.7071625996999131,0.6666666666666666,0.7706552706552706,18,39,6,27,28,8
8,21,0.1,0.6202155332590116,0.6312576312576312,0.6159505463410387,0.5873015873015873,0.6312576312576312,15,35,13,23,27,13
9,21,0.1,0.7514472455648926,0.7501135472149966,0.7378114381278028,0.746031746031746,0.7501135472149966,27,23,13,34,15,14
10,21,0.1,0.8001700680272109,0.6303418803418803,0.6767676767676768,0.7777777777777778,0.6303418803418803,39,12,12,49,8,6
11,21,0.1,0.8068283917340521,0.6388888888888888,0.6445839874411303,0.8253968253968254,0.6388888888888888,45,12,6,53,3,7
12,21,0.1,0.8035008469791078,0.7388591800356507,0.7288499025341131,0.7777777777777778,0.7388591800356507,24,17,22,33,7,23
13,21,0.1,0.854066985645933,0.8593350383631714,0.8555555555555556,0.8571428571428571,0.8593350383631714,23,23,17,22,22,19
14,21,0.1,0.770940170940171,0.7681451612903226,0.7634989426962292,0.7619047619047619,0.7681451612903226,16,31,16,20,30,13
15,21,0.1,0.7200435729847494,0.7765151515151515,0.6967320261437907,0.6825396825396826,0.7765151515151515,16,33,14,18,17,28
16,21,0.1,0.8266955266955267,0.8518518518518517,0.8288234224404437,0.8253968253968254,0.8518518518518517,18,27,18,21,20,22
17,21,0.1,0.8958333333333334,0.9422969187675069,0.9079685746352414,0.9206349206349206,0.9422969187675069,17,11,35,16,16,31
18,21,0.1,0.849924585218703,0.8802416973331516,0.8512030605053861,0.873015873015873,0.8802416973331516,23,11,29,20,17,26
19,21,0.1,0.7968627450980392,0.8227011494252873,0.7925925925925926,0.8253968253968254,0.8227011494252873,24,10,29,21,17,25
20,21,0.1,0.7658730158730158,0.7808641975308642,0.7708365708365709,0.7936507936507936,0.7808641975308642,27,24,12,28,21,14
21,21,0.1,0.6426482873851295,0.6263071895424837,0.6314814814814814,0.8095238095238095,0.6263071895424837,34,24,5,38,21,4
22,21,0.1,0.6159420289855072,0.5507246376811594,0.5690402476780186,0.8571428571428571,0.5507246376811594,39,23,1,46,15,2
23,21,0.1,0.8687830687830688,0.7120879120879121,0.7625636418089248,0.8095238095238095,0.7120879120879121,35,26,2,35,27,1
24,21,0.1,0.8923611111111112,0.8266862170087976,0.8500791620996223,0.8571428571428571,0.8266862170087976,22,31,10,24,32,7
25,21,0.1,0.8253968253968255,0.8175084175084176,0.8009675053034359,0.8412698412698413,0.8175084175084176,9,44,10,14,42,7
26,21,0.1,0.7137085137085136,0.8086956521739131,0.7471380471380472,0.8095238095238095,0.8086956521739131,7,46,10,11,42,10
27,21,0.1,0.8373015873015873,0.6077327327327328,0.6072741629037431,0.7619047619047619,0.6077327327327328,8,37,18,1,42,20
28,21,0.1,0.70843776106934,0.7478783130957044,0.7236075036075036,0.7936507936507936,0.7478783130957044,3,37,23,4,38,21
29,21,0.1,0.8015873015873015,0.7924603174603174,0.7949585704302686,0.7936507936507936,0.7924603174603174,14,25,24,14,28,21
30,21,0.1,0.7137820512820513,0.6547619047619048,0.6765432098765433,0.6825396825396826,0.6547619047619048,28,28,7,32,26,5
31,21,0.1,0.7346031746031746,0.832970225127088,0.7625660652451248,0.746031746031746,0.832970225127088,34,27,2,25,35,3
32,21,0.1,0.5353846153846153,0.47608695652173916,0.4851851851851852,0.7777777777777778,0.47608695652173916,23,40,0,13,50,0
33,21,0.1,0.6011904761904762,0.46296296296296297,0.48369636963696366,0.8253968253968254,0.46296296296296297,18,45,0,7,56,0
34,21,0.1,0.6270440251572328,0.6270440251572328,0.6270440251572328,0.9682539682539683,0.6270440251572328,10,53,0,10,53,0
35,21,0.1,0.603448275862069,0.5,0.5206349206349207,0.8253968253968254,0.5,10,47,6,5,58,0
36,21,0.1,0.29239766081871343,0.2976190476190476,0.2949852507374631,0.7936507936507936,0.2976190476190476,0,56,7,6,57,0
37,21,0.1,0.4387755102040816,0.6170212765957447,0.5,0.746031746031746,0.6170212765957447,7,47,9,14,49,0
38,21,0.1,0.7991452991452991,0.862330623306233,0.808885640025991,0.8412698412698413,0.862330623306233,7,41,15,12,39,12
39,21,0.1,0.889367816091954,0.9236111111111112,0.8992698619243837,0.8888888888888888,0.9236111111111112,7,24,32,8,29,26
